NO,DOMAIN,REACTION_TYPE,TITLE,BG1,CHAR1_1,CHAR1_2,CHAR1_3,BG2,CHAR2_1,CHAR2_2,CHAR2_3,BG3,CHAR3_1,CHAR3_2,CHAR3_3,BG4,CHAR4_1,CHAR4_2,CHAR4_3
24,연인4,행동,내 마음을 설명하는데 왜 자꾸 논리로 따질까?,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,baeksul_f_worried.png,,lover_tired.png,my_room.png,,baeksul_f_worried.png,lover_tired.png,my_room.png,baeksul_f_worried.png,,lover_default.png
25,연인5,인지,"편해진 건지, 나를 덜 신경 쓰는 건지",cafe.png,baeksul_f_default.png,,lover_default.png,cafe.png,,baeksul_f_sad.png,lover_default.png,cafe.png,baeksul_f_worried.png,,lover_default.png,cafe.png,baeksul_f_sad.png,,lover_default.png
25,연인5,정서,"편해진 건지, 나를 덜 신경 쓰는 건지",cafe.png,baeksul_f_default.png,,lover_default.png,cafe.png,,baeksul_f_sad.png,lover_default.png,cafe.png,baeksul_f_sad.png,,lover_tired.png,cafe.png,baeksul_f_sad.png,,lover_default.png
25,연인5,행동,"편해진 건지, 나를 덜 신경 쓰는 건지",cafe.png,baeksul_f_default.png,,lover_default.png,cafe.png,,baeksul_f_sad.png,lover_default.png,cafe.png,baeksul_f_worried.png,,lover_default.png,cafe.png,baeksul_f_sad.png,,lover_default.png
26,연인6,인지,내가 너무 기대고 있는 걸까?,my_room.png,baeksul_f_default.png,,,my_room.png,baeksul_f_sad.png,,,my_room.png,baeksul_f_worried.png,,,my_room.png,baeksul_f_worried.png,,
26,연인6,정서,내가 너무 기대고 있는 걸까?,my_room.png,baeksul_f_default.png,,,my_room.png,baeksul_f_sad.png,,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,lover_tired.png
26,연인6,행동,내가 너무 기대고 있는 걸까?,my_room.png,baeksul_f_default.png,,,my_room.png,baeksul_f_sad.png,,,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
27,연인7,인지,나만 보고 싶은 연애 같을 때,cafe.png,baeksul_f_default.png,,lover_default.png,cafe.png,baeksul_f_sad.png,,lover_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
27,연인7,정서,나만 보고 싶은 연애 같을 때,cafe.png,baeksul_f_default.png,,lover_default.png,cafe.png,baeksul_f_sad.png,,lover_default.png,cafe.png,,baeksul_f_sad.png,,cafe.png,baeksul_f_sad.png,,lover_tired.png
27,연인7,행동,나만 보고 싶은 연애 같을 때,cafe.png,baeksul_f_default.png,,lover_default.png,my_room.png,baeksul_f_sad.png,,lover_default.png,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
28,연인8,인지,피곤하다는 말 뒤에 자꾸 멀어지는 느낌,my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_worried.png,
28,연인8,정서,피곤하다는 말 뒤에 자꾸 멀어지는 느낌,my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,lover_tired.png
28,연인8,행동,피곤하다는 말 뒤에 자꾸 멀어지는 느낌,my_room.png,baeksul_f_default.png,,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,baeksul_f_worried.png,,
29,연인9,인지,"주말마다 잠만 자고 싶은 연인, 서운한 내가 속 좁은걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_worried.png,,
29,연인9,정서,"주말마다 잠만 자고 싶은 연인, 서운한 내가 속 좁은걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,lover_default.png
29,연인9,행동,"주말마다 잠만 자고 싶은 연인, 서운한 내가 속 좁은걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,baeksul_f_sad.png,,lover_tired.png,my_room.png,,baeksul_f_worried.png,,my_room.png,baeksul_f_sad.png,,
30,연인10,인지,"기념일을 가볍게 넘기는 연인, 나만 의미를 크게 두는 걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,,baeksul_f_sad.png,
30,연인10,정서,"기념일을 가볍게 넘기는 연인, 나만 의미를 크게 두는 걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_sad.png,,lover_tired.png
30,연인10,행동,"기념일을 가볍게 넘기는 연인, 나만 의미를 크게 두는 걸까?",my_room.png,baeksul_f_default.png,,lover_default.png,my_room.png,,baeksul_f_sad.png,,my_room.png,baeksul_f_worried.png,,,my_room.png,baeksul_f_sad.png,,
31,일상1,인지,할 일을 하려고 했는데 하루가 사라진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
31,일상1,정서,할 일을 하려고 했는데 하루가 사라진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
31,일상1,행동,할 일을 하려고 했는데 하루가 사라진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,
32,일상2,인지,약속 시간은 아는데 항상 늦는 나,my_room.png,,baeksul_f_worried.png,,cafe.png,,baeksul_f_sad.png,friend_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
32,일상2,정서,약속 시간은 아는데 항상 늦는 나,my_room.png,,baeksul_f_worried.png,,cafe.png,,baeksul_f_sad.png,friend_default.png,cafe.png,,baeksul_f_sad.png,friend_default.png,cafe.png,,baeksul_f_sad.png,friend_default.png
32,일상2,행동,약속 시간은 아는데 항상 늦는 나,my_room.png,,baeksul_f_worried.png,,cafe.png,,baeksul_f_sad.png,friend_default.png,cafe.png,,baeksul_f_worried.png,,cafe.png,,baeksul_f_worried.png,friend_default.png
33,일상3,인지,방 정리를 시작했는데 더 어지러워진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
33,일상3,정서,방 정리를 시작했는데 더 어지러워진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
33,일상3,행동,방 정리를 시작했는데 더 어지러워진 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,
34,일상4,인지,중요한 물건을 또 잃어버렸을 때,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
34,일상4,정서,중요한 물건을 또 잃어버렸을 때,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
34,일상4,행동,중요한 물건을 또 잃어버렸을 때,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_worried.png,
35,일상5,인지,돈을 어디에 썼는지 모르겠는 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
35,일상5,정서,돈을 어디에 썼는지 모르겠는 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
35,일상5,행동,돈을 어디에 썼는지 모르겠는 날,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,
36,일상6,인지,"빽빽한 일정표, 열심히 살려던 하루가 버거울 때",cafe.png,baeksul_f_default.png,,friend_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,
36,일상6,정서,"빽빽한 일정표, 열심히 살려던 하루가 버거울 때",cafe.png,baeksul_f_default.png,,friend_default.png,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,
36,일상6,행동,"빽빽한 일정표, 열심히 살려던 하루가 버거울 때",cafe.png,baeksul_f_default.png,,friend_default.png,my_room.png,,baeksul_f_worried.png,,street_day.png,,baeksul_f_default.png,,street_day.png,baeksul_f_worried.png,,
37,일상7,인지,"갖고 싶은 건, 지금 사야할 것 같은 마음",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,
37,일상7,정서,"갖고 싶은 건, 지금 사야할 것 같은 마음",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
37,일상7,행동,"갖고 싶은 건, 지금 사야할 것 같은 마음",my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_default.png,,my_room.png,,baeksul_f_default.png,
38,일상8,인지,"하고 싶은 머리, 오늘 당장 바꾸자",hair_salon.png,baeksul_f_default.png,,hairdresser_default.png,hair_salon.png,,baeksul_f_worried.png,,hair_salon.png,baeksul_f_default.png,,hairdresser_talking.png,my_room.png,,baeksul_f_sad.png,
38,일상8,정서,"하고 싶은 머리, 오늘 당장 바꾸자",hair_salon.png,baeksul_f_default.png,,hairdresser_default.png,hair_salon.png,,baeksul_f_worried.png,,my_room.png,,baeksul_f_sad.png,,my_room.png,,baeksul_f_sad.png,
