NO,DOMAIN,REACTION_TYPE,SCENE_NUM,SCENE_TYPE,TEXT
2,직장2,인지,3,세부 시나리오(인지) - Scene 1,백설은 서둘러 업무를 시작하지만 ‘왜 또 잊어버렸을까’라는 생각이 계속 맴돈다.
2,직장2,인지,4,세부 시나리오(인지) - Scene 2,이전에 놓쳤던 일들까지 떠올리며 자신은 중요한 일도 제대로 기억하지 못하는 사람이라고 스스로를 과도하게 비판한다.
2,직장2,정서,1,공통 시나리오 - Scene 1,"백설은 오전까지 팀원에게 전달하기로 한 중요한 자료가 있었다. 출근 직후에는 그 일을 기억하고 있었지만, 급하게 들어온 메일에 답하고 다른 업무를 처리하다 보니 어느새 자료 전달을 완전히 잊어버렸다."
2,직장2,정서,2,공통 시나리오 - Scene 2,오후가 되어 팀원에게서 “요청드린 자료는 언제쯤 받을 수 있을까요?”라는 메시지가 도착한다. 그제야 백설은 자신이 약속한 업무를 처리하지 않았다는 사실을 깨닫는다. 팀원은 그 자료를 받아야 다음 작업을 진행할 수 있는 상황이다.
2,직장2,정서,3,세부 시나리오(정서) - Scene 1,": 백설은 당황스럽고 미안하며 부끄러운 감정이 한꺼번에 올라오지만, 자신이 정확히 어떤 마음인지 잘 알지 못한다."
2,직장2,정서,4,세부 시나리오(정서) - Scene 2,아무렇지 않은 척 감정을 억누르다가 팀원이 다시 진행 상황을 묻자 평소보다 딱딱하고 날카롭게 대답한다.
2,직장2,행동,1,공통 시나리오 - Scene 1,"백설은 오전까지 팀원에게 전달하기로 한 중요한 자료가 있었다. 출근 직후에는 그 일을 기억하고 있었지만, 급하게 들어온 메일에 답하고 다른 업무를 처리하다 보니 어느새 자료 전달을 완전히 잊어버렸다."
2,직장2,행동,2,공통 시나리오 - Scene 2,오후가 되어 팀원에게서 “요청드린 자료는 언제쯤 받을 수 있을까요?”라는 메시지가 도착한다. 그제야 백설은 자신이 약속한 업무를 처리하지 않았다는 사실을 깨닫는다. 팀원은 그 자료를 받아야 다음 작업을 진행할 수 있는 상황이다.
2,직장2,행동,3,세부 시나리오(행동) - Scene 1,백설은 팀원의 메시지를 확인하고도 바로 답하지 못한 채 창을 닫는다.
2,직장2,행동,4,세부 시나리오(행동) - Scene 2,"부담을 피하기 위해 다른 간단한 업무부터 처리하거나 잠시 자리를 비우고, 시간이 더 지난 뒤에야 급하게 해당 업무를 시작한다."
3,직장3,인지,1,공통 시나리오 - Scene 1,백설은 출근하자마자 팀장에게 세 가지 업무를 연달아 요청받는다.
3,직장3,인지,2,공통 시나리오 - Scene 2,"각 업무의 마감 시간과 중요도가 서로 다르지만, 모두 급하게 들리고 어떤 일을 먼저 처리해야 하는지는 명확하지 않다. 백설은 메일과 메신저를 번갈아 확인하며 일을 시작하지만, 해야 할 일이 한꺼번에 머릿속에 떠올라 쉽게 순서를 정하지 못한다."
3,직장3,인지,3,세부 시나리오(인지) - Scene 1,백설은 어떤 일을 먼저 해야 가장 문제가 적을지 계속 계산하고 비교한다.
3,직장3,인지,4,세부 시나리오(인지) - Scene 2,"하나를 선택하려 할 때마다 다른 업무가 더 급한 것처럼 느껴져 생각이 꼬이고, 결국 ‘어차피 뭘 먼저 해도 누군가는 불만을 가질 것 같다’는 냉소적인 생각으로 이어진다. 일을 시작한 뒤에도 자신의 선택이 맞았는지 계속 되짚으며 집중하지 못한다."
3,직장3,정서,1,공통 시나리오 - Scene 1,백설은 출근하자마자 팀장에게 세 가지 업무를 연달아 요청받는다.
3,직장3,정서,2,공통 시나리오 - Scene 2,"각 업무의 마감 시간과 중요도가 서로 다르지만, 모두 급하게 들리고 어떤 일을 먼저 처리해야 하는지는 명확하지 않다. 백설은 메일과 메신저를 번갈아 확인하며 일을 시작하지만, 해야 할 일이 한꺼번에 머릿속에 떠올라 쉽게 순서를 정하지 못한다."
3,직장3,정서,3,세부 시나리오(정서) - Scene 1,"백설은 답답함과 압박감을 느끼지만, 감정에 흔들리면 안 된다고 생각해 무조건 침착하고 이성적으로 처리하려고 한다."
3,직장3,정서,4,세부 시나리오(정서) - Scene 2,불편한 감정을 계속 억누른 채 일하다가 동료가 새로운 요청을 더하자 “지금도 할 일이 많아요”라고 평소보다 날카롭게 반응한다. 이후에도 왜 이렇게 예민해졌는지 스스로 잘 이해하지 못한다.
3,직장3,행동,1,공통 시나리오 - Scene 1,백설은 출근하자마자 팀장에게 세 가지 업무를 연달아 요청받는다.
3,직장3,행동,2,공통 시나리오 - Scene 2,"각 업무의 마감 시간과 중요도가 서로 다르지만, 모두 급하게 들리고 어떤 일을 먼저 처리해야 하는지는 명확하지 않다. 백설은 메일과 메신저를 번갈아 확인하며 일을 시작하지만, 해야 할 일이 한꺼번에 머릿속에 떠올라 쉽게 순서를 정하지 못한다."
3,직장3,행동,3,세부 시나리오(행동) - Scene 1,"백설은 세 업무와 관련된 파일을 모두 열어두고 조금씩 손대지만, 어느 하나도 제대로 마무리하지 못한다."
3,직장3,행동,4,세부 시나리오(행동) - Scene 2,"부담이 커지자 비교적 쉬운 일이나 중요하지 않은 정리 업무부터 시작하고, 중간에 물을 마시러 가거나 자리를 비우며 착수를 늦춘다. 결국 마감이 가까워진 뒤에야 가장 급한 업무를 서둘러 처리한다."
4,직장4,인지,1,공통 시나리오 - Scene 1,"백설은 팀장에게 새로운 업무에 대한 설명을 듣고 있었지만, 중간에 다른 생각이 떠오르고 주변 소리에도 주의가 빼앗기면서 중요한 지시를 일부 놓친다."
4,직장4,인지,2,공통 시나리오 - Scene 2,"설명이 끝난 뒤 업무를 시작하려고 하자, 어떤 형식으로 정리해야 하는지와 언제까지 제출해야 하는지가 정확히 기억나지 않는다."
4,직장4,인지,3,세부 시나리오(인지) - Scene 1,": 백설은 다시 물어보면 집중하지 않았다는 사실이 드러날 것 같아, 들었던 내용을 머릿속으로 논리적으로 재구성하려고 한다."
4,직장4,인지,4,세부 시나리오(인지) - Scene 2,"기억나는 단서만으로 ‘아마 이런 뜻이었을 거야’라고 판단하고, 자신의 해석이 맞다고 고집하면서 불안한 마음은 애써 무시한다. 동시에 ‘이 정도 설명도 제대로 못 알아듣다니’라고 자신의 집중력과 능력을 지나치게 과소평가하기 시작한다."
4,직장4,정서,1,공통 시나리오 - Scene 1,"백설은 팀장에게 새로운 업무에 대한 설명을 듣고 있었지만, 중간에 다른 생각이 떠오르고 주변 소리에도 주의가 빼앗기면서 중요한 지시를 일부 놓친다."
4,직장4,정서,2,공통 시나리오 - Scene 2,"설명이 끝난 뒤 업무를 시작하려고 하자, 어떤 형식으로 정리해야 하는지와 언제까지 제출해야 하는지가 정확히 기억나지 않는다."
4,직장4,정서,3,세부 시나리오(정서) - Scene 1,"백설은 당황스럽고 불안하지만 그 감정을 드러내고 싶지 않아, 이해한 것처럼 고개를 끄덕이며 아무렇지 않은 척한다."
4,직장4,정서,4,세부 시나리오(정서) - Scene 2,"팀장이 “설명한 내용대로 진행해 주세요”라고 다시 말하자 자신을 의심하는 것처럼 느껴져 속으로 서운함과 짜증이 올라오지만, 감정을 억누른 채 짧고 딱딱하게 대답한다. 그런데 기억이 도무지 나지 않아서 나 자신이 싫어진다."
4,직장4,행동,1,공통 시나리오 - Scene 1,"백설은 팀장에게 새로운 업무에 대한 설명을 듣고 있었지만, 중간에 다른 생각이 떠오르고 주변 소리에도 주의가 빼앗기면서 중요한 지시를 일부 놓친다."
4,직장4,행동,2,공통 시나리오 - Scene 2,"설명이 끝난 뒤 업무를 시작하려고 하자, 어떤 형식으로 정리해야 하는지와 언제까지 제출해야 하는지가 정확히 기억나지 않는다."
4,직장4,행동,3,세부 시나리오(행동) - Scene 1,"백설은 정확한 내용을 다시 확인하기보다 우선 기억나는 부분부터 일을 시작한다. 필요한 정보를 찾기 위해 메일과 파일을 반복해서 확인하지만 정작 팀장에게 질문하는 행동은 미루고, 동료에게 돌려서 물어보거나 비슷한 이전 자료를 그대로 참고해 작업을 진행한다."
4,직장4,행동,4,세부 시나리오(행동) - Scene 2,이후 내용이 맞지 않을까 걱정되어 제출 직전까지 수정과 확인을 반복한다. 백설은 스스로 자신이 하는 방향이 맞는지 안 맞는지도 모른채 불안감만 가득해진다.
5,직장5,인지,1,공통 시나리오 - Scene 1,"백설은 팀 회의에 참석했지만, 사람들의 말소리와 노트북 알림, 복도에서 들리는 소리, 회의실 안의 움직임에 계속 주의가 빼앗긴다."
5,직장5,인지,2,공통 시나리오 - Scene 2,"회의가 끝난 뒤 메모를 확인해보니 중요한 결정 사항과 자신이 맡은 업무가 제대로 정리되어 있지 않고, 방금 들었던 내용도 선명하게 떠오르지 않는다."
5,직장5,인지,3,세부 시나리오(인지) - Scene 1,"회의가 끝나고, 백설은 회의 내용을 처음부터 다시 떠올리며 빠진 부분을 논리적으로 맞춰보려고 한다."
5,직장5,인지,4,세부 시나리오(인지) - Scene 2,"기억나는 몇 가지 단서를 연결해 ‘아마 이런 뜻이었을 거야’라고 결론 내리지만, 확신이 없어 같은 내용을 계속 검토한다. 그러다 자신은 회의에서도 핵심을 놓치는 사람이라는 생각에 이내 자신감이 떨어지고 만다."
5,직장5,정서,1,공통 시나리오 - Scene 1,"백설은 팀 회의에 참석했지만, 사람들의 말소리와 노트북 알림, 복도에서 들리는 소리, 회의실 안의 움직임에 계속 주의가 빼앗긴다."
5,직장5,정서,2,공통 시나리오 - Scene 2,"회의가 끝난 뒤 메모를 확인해보니 중요한 결정 사항과 자신이 맡은 업무가 제대로 정리되어 있지 않고, 방금 들었던 내용도 선명하게 떠오르지 않는다."
5,직장5,정서,3,세부 시나리오(정서) - Scene 1,"백설은 답답하고 불안한 느낌이 들지만, 정확히 무엇이 불편한지는 잘 알지 못한다. 회의 내용을 놓쳤다는 사실이 부끄럽게 느껴져 애써 괜찮은 척을 한다."
5,직장5,정서,4,세부 시나리오(정서) - Scene 2,"동료가 “아까 정해진 내용은 어떻게 할까요?”라고 묻자 기억이 나지 않는 백설은 순간적으로 압박감을 느끼고, ""네, 필요하면 요청하겠습니다. ""라며 다소 딱딱하게 대답한 뒤 불편한 마음을 진정시킬 방도를 찾기 시작한다."
5,직장5,행동,1,공통 시나리오 - Scene 1,"백설은 팀 회의에 참석했지만, 사람들의 말소리와 노트북 알림, 복도에서 들리는 소리, 회의실 안의 움직임에 계속 주의가 빼앗긴다."
5,직장5,행동,2,공통 시나리오 - Scene 2,"회의가 끝난 뒤 메모를 확인해보니 중요한 결정 사항과 자신이 맡은 업무가 제대로 정리되어 있지 않고, 방금 들었던 내용도 선명하게 떠오르지 않는다."
5,직장5,행동,3,세부 시나리오(행동) - Scene 1,"백설은 회의록과 메신저를 여러 번 확인하고, 동료가 작성한 메모를 찾아보며 빠진 내용을 스스로 메우려고 한다. 그러나 백설이 작성한 회의록은 큰 항목, 주제만 적혀져 있어서 정확한 내용을 확인하기엔 한계가 있다."
5,직장5,행동,4,세부 시나리오(행동) - Scene 2,"동료에게 해당 내용을 물어보는 것이 자신을 능력이 없다는 사람으로 인식할까봐 부담스러운 마음에 질문을 미루고, 당장 기억나는 업무부터 먼저 시작한다. 필요한 정보를 찾다가 다른 알림과 파일로 계속 이동하면서 여러 일을 동시에 벌이고, 결국 마감이 가까워진 뒤에야 동료에게 다시 내용을 확인한다."
6,직장6,인지,1,공통 시나리오 - Scene 1,"백설은 동료와 함께 진행하는 업무의 마감일을 다음 주로 기억하고 있었지만, 실제 마감일은 이번 주였다."
6,직장6,인지,2,공통 시나리오 - Scene 2,"동료는 이미 자신의 작업을 마친 채 백설의 자료를 기다리고 있었고, 일정이 늦어지면 전체 업무에도 차질이 생길 수 있다고 말한다. 백설은 그제야 자신이 일정을 잘못 알고 있었다는 사실을 깨닫는다."
6,직장6,인지,3,세부 시나리오(인지) - Scene 1,백설은 일정표와 이전 메시지를 다시 확인하며 자신이 어디서부터 잘못 이해했는지 따져본다.
6,직장6,인지,4,세부 시나리오(인지) - Scene 2,"처음에는 단순한 착오라고 생각하려 하지만, 곧 ‘나는 왜 늘 중요한 일정을 잘못 기억하지?’라는 생각으로 이어진다. 이번 일의 사실관계를 정리하기보다 과거의 비슷한 실수까지 떠올리며 자신의 신뢰성과 업무 능력을 지나치게 낮게 평가한다."
6,직장6,정서,1,공통 시나리오 - Scene 1,"백설은 동료와 함께 진행하는 업무의 마감일을 다음 주로 기억하고 있었지만, 실제 마감일은 이번 주였다."
6,직장6,정서,2,공통 시나리오 - Scene 2,"동료는 이미 자신의 작업을 마친 채 백설의 자료를 기다리고 있었고, 일정이 늦어지면 전체 업무에도 차질이 생길 수 있다고 말한다. 백설은 그제야 자신이 일정을 잘못 알고 있었다는 사실을 깨닫는다."
6,직장6,정서,3,세부 시나리오(정서) - Scene 1,"백설은 동료에게 미안하면서도, 자신이 민폐를 끼쳤다는 생각에 얼굴이 달아오르고 마음이 불편해진다."
6,직장6,정서,4,세부 시나리오(정서) - Scene 2,"동료가 일정 관리에 조금 더 신경 써달라고 말하자 수치심과 짜증이 함께 올라오고, “죄송해요, 그런데 저도 일부러 그런 건 아니에요”라고 다소 방어적으로 대답한다. 반복적으로 실수를 유발하는 백설은 이내 위축된다."
6,직장6,행동,1,공통 시나리오 - Scene 1,"백설은 동료와 함께 진행하는 업무의 마감일을 다음 주로 기억하고 있었지만, 실제 마감일은 이번 주였다."
6,직장6,행동,2,공통 시나리오 - Scene 2,"동료는 이미 자신의 작업을 마친 채 백설의 자료를 기다리고 있었고, 일정이 늦어지면 전체 업무에도 차질이 생길 수 있다고 말한다. 백설은 그제야 자신이 일정을 잘못 알고 있었다는 사실을 깨닫는다."
6,직장6,행동,3,세부 시나리오(행동) - Scene 1,"백설은 동료에게 바로 설명하고 조율해야 한다는 것을 알지만, 부담스러워 답장을 미루거나 메시지를 여러 번 작성했다가 지운다."
6,직장6,행동,4,세부 시나리오(행동) - Scene 2,"이후 만회해야 한다는 마음에 계획 없이 급하게 여러 작업을 동시에 시작하고, 도움을 요청하기보다 혼자 처리하려 한다. 결국 일정이 더 촉박해진 뒤에야 동료에게 현재 상황을 알리고 업무를 다시 나눈다."
7,직장7,인지,1,공통 시나리오 - Scene 1,"백설은 회의실 앞에서 발표를 시작하지만, 프로젝터의 밝은 빛과 에어컨 소리, 사람들의 움직임과 시선이 한꺼번에 의식되면서 준비한 내용에 집중하기 어려워진다."
7,직장7,인지,2,공통 시나리오 - Scene 2,"머릿속이 갑자기 복잡해지고 말하려던 순서가 떠오르지 않아, 잠시 말을 멈추게 된다."
7,직장7,인지,3,세부 시나리오(인지) - Scene 1,백설은 발표가 끝난 뒤 자신이 어느 순간부터 흐름을 놓쳤는지 장면을 하나씩 되짚어본다.
7,직장7,인지,4,세부 시나리오(인지) - Scene 2,"사람들의 표정과 자신의 말투, 멈췄던 순간을 반복해서 떠올리며 ‘그때 다른 방식으로 설명했어야 했나’, ‘사람들은 내가 긴장한 걸 눈치챘을까’처럼 여러 가능성을 계속 분석한다. 생각을 정리하려 하지만 오히려 발표 장면을 지나치게 해석하고 의미를 부여하면서 머릿속에서 쉽게 놓지 못한다."
7,직장7,정서,1,공통 시나리오 - Scene 1,"백설은 회의실 앞에서 발표를 시작하지만, 프로젝터의 밝은 빛과 에어컨 소리, 사람들의 움직임과 시선이 한꺼번에 의식되면서 준비한 내용에 집중하기 어려워진다."
7,직장7,정서,2,공통 시나리오 - Scene 2,"머릿속이 갑자기 복잡해지고 말하려던 순서가 떠오르지 않아, 잠시 말을 멈추게 된다."
7,직장7,정서,3,세부 시나리오(정서) - Scene 1,"백설은 발표 도중 긴장과 당황스러움이 크게 올라오지만, 그 감정을 정확히 알아차리기보다 무조건 침착해야 한다고 생각한다."
7,직장7,정서,4,세부 시나리오(정서) - Scene 2,"발표가 끝난 뒤에도 가슴이 두근거리고 얼굴이 화끈거리지만 괜찮은 척하고, 누군가 “긴장 많이 했어요?”라고 묻자 불편함을 숨기며 짧게 대답한다. 이후에도 민망함과 수치심을 마주하기 싫어 발표 이야기를 피하려 한다."
7,직장7,행동,1,공통 시나리오 - Scene 1,"백설은 회의실 앞에서 발표를 시작하지만, 프로젝터의 밝은 빛과 에어컨 소리, 사람들의 움직임과 시선이 한꺼번에 의식되면서 준비한 내용에 집중하기 어려워진다."
7,직장7,행동,2,공통 시나리오 - Scene 2,"머릿속이 갑자기 복잡해지고 말하려던 순서가 떠오르지 않아, 잠시 말을 멈추게 된다."
7,직장7,행동,3,세부 시나리오(행동) - Scene 1,백설은 발표가 끝나자마자 질문을 충분히 받기보다 서둘러 자리로 돌아간다.
7,직장7,행동,4,세부 시나리오(행동) - Scene 2,"이후 동료들이 발표에 대해 이야기하는 자리를 피하거나, 화장실이나 휴게실로 가서 한동안 혼자 있으려 한다. 발표 자료를 다시 확인해야 한다는 것을 알지만 바로 열어보지 않고, 다른 업무를 먼저 하며 그 상황과 관련된 행동을 뒤로 미룬다."
8,직장8,인지,1,공통 시나리오 - Scene 1,"백설은 여러 자료를 참고해 보고서를 작성했지만, 파일 안의 글꼴과 문단 형식이 제각각이고 내용의 순서도 매끄럽게 정리되지 않은 상태로 제출한다."
8,직장8,인지,2,공통 시나리오 - Scene 2,팀장은 자료를 확인한 뒤 “내용은 있는데 전체적으로 정리가 안 되어 있어서 읽기가 어렵다”고 말하며 다시 수정해 달라고 요청한다.
8,직장8,인지,3,세부 시나리오(인지) - Scene 1,"백설은 팀장의 지적을 들은 뒤 파일의 어느 부분이 특히 문제였는지 계속 분석한다. 글꼴, 문단 간격, 내용 순서 중 무엇을 먼저 고쳐야 할지 머릿속으로 여러 기준을 세우지만, 기준이 많아질수록 오히려 정리가 더 어려워진다."
8,직장8,인지,4,세부 시나리오(인지) - Scene 2,"그러다 “형식이 그렇게 중요한가”, “내용만 맞으면 되는 것 아닌가”라고 냉소적으로 생각하며 지적의 필요성을 낮게 평가하려 하기도 한다. 그러면서 백설은 초등학교, 중학교, 고등학교에서 선생님에게 지적받았던 순간들을 떠올리며 비슷한 상황들을 생각하게 된다."
8,직장8,정서,1,공통 시나리오 - Scene 1,"백설은 여러 자료를 참고해 보고서를 작성했지만, 파일 안의 글꼴과 문단 형식이 제각각이고 내용의 순서도 매끄럽게 정리되지 않은 상태로 제출한다."
8,직장8,정서,2,공통 시나리오 - Scene 2,팀장은 자료를 확인한 뒤 “내용은 있는데 전체적으로 정리가 안 되어 있어서 읽기가 어렵다”고 말하며 다시 수정해 달라고 요청한다.
8,직장8,정서,3,세부 시나리오(정서) - Scene 1,"백설은 자신이 공들여 만든 자료가 한눈에 부정적으로 평가받았다는 느낌에 속상하고 민망해진다. 이내 백설은 “네, 수정하겠습니다”라고 차분하게 대답한다."
8,직장8,정서,4,세부 시나리오(정서) - Scene 2,"이후 팀장이 세부 형식까지 다시 지적하자 불편함이 쌓이고, “그 정도는 내용 이해에 큰 문제가 없지 않나요?”라고 다소 날이 선 말투로 반응한다. 백설은 퇴근할 때까지 자신이 열심히 만든 자료를 한순간에 쓸모없는 자료로 만들어버린 팀장님에게 높은 강도의 섭섭함을 느끼게 되고, 백설은 이 마음을 어떻게 진정시켜야 할지 어찌 할 바를 모른다."
8,직장8,행동,1,공통 시나리오 - Scene 1,"백설은 여러 자료를 참고해 보고서를 작성했지만, 파일 안의 글꼴과 문단 형식이 제각각이고 내용의 순서도 매끄럽게 정리되지 않은 상태로 제출한다."
8,직장8,행동,2,공통 시나리오 - Scene 2,팀장은 자료를 확인한 뒤 “내용은 있는데 전체적으로 정리가 안 되어 있어서 읽기가 어렵다”고 말하며 다시 수정해 달라고 요청한다.
8,직장8,행동,3,세부 시나리오(행동) - Scene 1,"백설은 파일을 다시 열지만 어디서부터 손대야 할지 몰라서, 우선 팀장의 지시사항대로 글꼴만 바꾸거나 문장 일부만 수정하는 등 눈에 띄는 부분부터 건드린다. 수정해야 할 항목이 많아질수록 다른 업무 창을 열거나 자리를 비우며 작업을 중단한다."
8,직장8,행동,4,세부 시나리오(행동) - Scene 2,결국 제출 시간이 가까워진 뒤에야 전체 형식을 한꺼번에 맞추려다 급하게 수정하게 된다. 백설은 수정하는 것이 지치기 시작한다.
9,직장9,인지,1,공통 시나리오 - Scene 1,"백설은 보고서를 제출하기 전에 여러 번 내용을 확인했지만, 제출한 파일에서 오탈자와 잘못 입력된 숫자가 계속 발견된다."
9,직장9,인지,2,공통 시나리오 - Scene 2,"팀장은 비슷한 실수가 반복되고 있다며, 다음부터는 제출 전에 더 꼼꼼히 확인해 달라고 말한다. 백설은 분명 몇 차례 검토했는데도 새로운 오류가 계속 나오는 상황이 답답하게 느껴진다."
9,직장9,인지,3,세부 시나리오(인지) - Scene 1,"백설은 자신이 어떤 방식으로 검토했기에 오류를 발견하지 못했는지 계속 따져본다. 문장을 읽는 순서, 확인한 횟수, 숫자를 대조한 방식까지 하나씩 분석하며 더 완벽한 검토 방법을 찾으려 한다. 하지만 확인 기준이 점점 많아지면서 다른 업무를 번갈아가면서 하게 되는 자신을 발견하게 된다."
9,직장9,인지,4,세부 시나리오(인지) - Scene 2,"백설은 어떻게 해야 할지 혼란스러움을 느끼며, “아무리 봐도 결국 또 나오는데 확인하는 게 무슨 소용이지”라는 냉소적인 생각이 들기도 한다. 중학교때 자신의 덤벙거리는 특성을 혼내는 일이 생각나면서 또 기분이 가라앉게 된다. 그리고 다시 또 어떤 것부터 해야 할지 우선순위표를 작성하기로 한다."
9,직장9,정서,1,공통 시나리오 - Scene 1,"백설은 보고서를 제출하기 전에 여러 번 내용을 확인했지만, 제출한 파일에서 오탈자와 잘못 입력된 숫자가 계속 발견된다."
9,직장9,정서,2,공통 시나리오 - Scene 2,"팀장은 비슷한 실수가 반복되고 있다며, 다음부터는 제출 전에 더 꼼꼼히 확인해 달라고 말한다. 백설은 분명 몇 차례 검토했는데도 새로운 오류가 계속 나오는 상황이 답답하게 느껴진다."
9,직장9,정서,3,세부 시나리오(정서) - Scene 1,"백설은 또 실수했다는 말을 듣는 순간 얼굴이 화끈거리고 마음이 무거워지지만, 이것이 부끄러움인지 억울함인지 분명히 알기 어렵다."
9,직장9,정서,4,세부 시나리오(정서) - Scene 2,"겉으로는 차분하게 수정하겠다고 말하지만, 계속되는 지적에 감정이 쌓이면서 “저도 여러 번 확인했어요”라고 다소 날카롭게 반응한다. 이후에는 더 속상해질까 봐 자신의 감정을 애써 외면한다."
9,직장9,행동,1,공통 시나리오 - Scene 1,"백설은 보고서를 제출하기 전에 여러 번 내용을 확인했지만, 제출한 파일에서 오탈자와 잘못 입력된 숫자가 계속 발견된다."
9,직장9,행동,2,공통 시나리오 - Scene 2,"팀장은 비슷한 실수가 반복되고 있다며, 다음부터는 제출 전에 더 꼼꼼히 확인해 달라고 말한다. 백설은 분명 몇 차례 검토했는데도 새로운 오류가 계속 나오는 상황이 답답하게 느껴진다."
9,직장9,행동,3,세부 시나리오(행동) - Scene 1,백설은 수정한 파일을 바로 제출하지 못하고 저장만 한 채 여러 번 열었다 닫는다.
9,직장9,행동,4,세부 시나리오(행동) - Scene 2,"혹시 또 틀린 부분이 있을까 걱정되어 제출을 계속 미루고, 부담이 커지면 다른 업무로 옮겨간다. 결국 마감이 가까워진 뒤에야 파일을 급하게 보내고, 보낸 직후 다시 회수하고 싶어 한다."
10,직장10,인지,1,공통 시나리오 - Scene 1,백설은 회의에서 좋은 생각이 떠오르자 잊어버릴 것 같아 동료의 말이 끝나기 전에 자신의 의견을 말한다.
10,직장10,인지,2,공통 시나리오 - Scene 2,"동료는 잠시 말을 멈추고, 팀장은 다른 사람의 이야기를 끝까지 들은 뒤 말해달라고 한다. 백설은 자신도 일부러 무례하게 행동한 것은 아니지만, 비슷한 일이 반복된다는 사실이 마음에 남는다."
