DOMAIN,SCENE_NUM,TITLE,BG,CHAR_1,CHAR_2,CHAR_3,KIND,TEXT
취업준비,5,기다리는 시간도 내 하루예요,my_room.png,,baeksul_f_default.png,,,"다음 주 아침, 기다리던 메일이 도착해 있다. 백설은 첫 줄을 읽고 잠시 창밖을 보다가, 메일함을 닫고 어제 저장해 둔 공고를 연다. 오늘 할 일은 어제 정해 둔 그대로다."
취업준비,6,기다리는 시간도 내 하루예요,my_room.png,baeksul_f_cheer.png,,,narration,"결과를 기다리는 시간을 백설은 더 이상 결과에 내주지 않습니다. 오늘 할 준비를 오늘 하고, 결과는 결과대로 두는 법을 익혔습니다. 다음 면접이 언제 오든 백설은 그 자리에 있을 거예요. 함께 가요."
연인,1,서운함을 먼저 말했어요,restaurant.png,baeksul_f_default.png,,lover_default.png,,"약속 시간에서 삼십 분이 지나 연인이 식당에 들어온다. 백설의 앞접시는 그대로고, 연인은 미안하다는 말과 함께 겉옷을 벗어 건다."
연인,2,서운함을 먼저 말했어요,restaurant.png,baeksul_f_default.png,,lover_default.png,,"백설은 아무렇지 않은 척과 화를 내는 쪽을 속으로 번갈아 저울질한다. 그러다 숟가락을 내려놓고, 기다리는 동안 조금 서운했다고 천천히 말한다."
연인,3,서운함을 먼저 말했어요,restaurant.png,baeksul_f_default.png,,lover_default.png,,"연인은 잠시 말이 없다가, 늦을 것 같으면 미리 연락하겠다고 답한다. 백설은 고개를 끄덕이고 식은 국을 다시 데워 달라고 부탁한다."
연인,4,서운함을 먼저 말했어요,street_night.png,baeksul_f_default.png,,lover_default.png,,"밥을 다 먹고 둘은 강가를 따라 걷는다. 서운함이 아직 조금 남아 있지만, 백설은 그 말을 꺼내고 나온 오늘이 나쁘지 않다고 생각한다."
연인,5,서운함을 먼저 말했어요,cafe.png,,baeksul_f_default.png,,,"며칠 뒤, 약속 장소에 조금 일찍 나온 백설의 휴대폰이 울린다. 오늘 삼십 분쯤 늦을 것 같다는 연락이 이번에는 먼저 와 있다."
연인,6,서운함을 먼저 말했어요,cafe.png,baeksul_f_happy.png,,lover_default.png,,삼십 분 뒤 연인이 문을 열고 들어온다. 백설은 읽던 페이지를 접어 두고 웃으며 손을 든다. 같은 삼십 분인데 지난번과는 다른 시간이 지나 있다.
연인,7,서운함을 먼저 말했어요,cafe.png,baeksul_f_cheer.png,,,narration,서운함을 삼키는 대신 먼저 꺼내 놓는 백설을 보셨습니다. 말해 본 사람만이 다음에도 말할 수 있습니다. 두 사람의 시간은 그렇게 조금씩 편해질 거예요. 앞으로도 응원해요.
일상,1,아침을 아주 작게 시작했어요,my_room.png,,baeksul_f_sad.png,,,"알람을 세 번 미룬 아침, 백설은 이불 속에서 천장을 본다. 어제 못 한 일들이 목록 그대로 머릿속에 쌓여 있다."
일상,2,아침을 아주 작게 시작했어요,my_room.png,baeksul_f_default.png,,family_default.png,,"방문 밖에서 가족이 오늘도 늦게 일어났느냐고 묻는다. 백설은 대답 대신 몸을 일으켜, 목록에서 가장 짧은 일 하나만 골라 컵을 씻는다."
일상,3,아침을 아주 작게 시작했어요,library.png,baeksul_f_default.png,,friend_default.png,,"컵을 씻은 김에 세수를 하고, 세수를 한 김에 가방을 챙긴다. 도서관에 먼저 와 있던 친구가 손을 흔들고, 백설은 옆자리에 앉아 미뤄 둔 첫 장을 편다."
일상,4,아침을 아주 작게 시작했어요,library.png,,baeksul_f_default.png,,,"두 시간쯤 지나 백설은 자리를 정리한다. 목록을 다 지우지는 못했지만 첫 줄에 그은 선 하나가 남아 있고, 백설은 그걸로 오늘을 접기로 한다."
일상,5,아침을 아주 작게 시작했어요,my_room.png,,baeksul_f_default.png,,,"일주일쯤 지난 아침이다. 백설은 눈을 뜨자마자 책상 위 목록을 펴고, 가장 짧은 줄 하나에 선을 긋는다. 남은 줄은 여전히 많지만, 오늘도 첫 줄은 그어졌다."
일상,6,아침을 아주 작게 시작했어요,my_room.png,baeksul_f_cheer.png,,,narration,목록을 다 지우지 못한 날에도 첫 줄에 선을 긋는 백설을 보셨습니다. 작은 한 줄이 쌓여 아침이 달라졌습니다. 내일 아침도 백설은 첫 줄부터 시작할 거예요. 같이 해봐요.
