NO,DOMAIN,ACCEPT_TITLE,ACCEPT_DETAIL,ACCEPT_AFTER,REAPPRAISAL_TITLE,REAPPRAISAL_DETAIL,REAPPRAISAL_AFTER,REFOCUS_TITLE,REFOCUS_DETAIL,REFOCUS_AFTER,HELPFUL_1,HELPFUL_2,HELPFUL_3,UNHELPFUL_1,UNHELPFUL_2,UNHELPFUL_3
10,직장10,민망함과 억울함을 함께 인정해요,좋은 생각을 전하려다 지적을 받으면 민망하면서도 억울할 수 있어요. ‘부끄럽기도 하고 내 의도를 알아줬으면 하는 마음도 있구나’라고 두 감정을 함께 살펴보세요.,"민망해서 아예 말하고 싶지 않았고, 억울해서 또 설명하고 싶었던 거구나.",아이디어와 말한 타이밍은 다른 문제예요,팀장의 지적은 아이디어의 가치가 아니라 동료의 말이 끝나기 전에 발언한 방식에 대한 것이에요. 의견이 거절됐다는 해석과 말한 타이밍을 구분해 보세요.,"내 생각이 틀렸다는 말이 아니라, 순서를 지켜 달라는 말이었어.",생각은 적어 두고 차례가 오면 말해요,아이디어를 잊을 것 같으면 바로 말하지 말고 핵심 단어를 한 줄로 적으세요. 상대의 말이 끝난 뒤 발언해도 되는지 묻고 짧게 의견을 차분히 전하세요.,생각은 적어 두면 돼. 끝까지 듣고 차례가 오면 말하자.,상대 입장이 이해됨,상황을 달리 보게 됨,시작해 볼 마음이 생김,너무 이상적임,공감되지 않음,상대에겐 통하지 않음
11,취업준비1,연속된 불합격에 지친 마음을 인정해요,"반복해서 불합격 통보를 받으면 막막하고 두려운 마음이 들 수 있어요. 억지로 마음을 다잡으려 하지 말고, 지금 백설이 느끼는 막막함과 다음 면접에 대한 불안을 그대로 바라봐도 괜찮아요.",계속된 불합격으로 불안했던 마음을 억지로 감추지 않아도 되겠어.,불합격이 백설의 전체를 뜻하지는 않아요,"여러 번의 결과 때문에 백설의 모든 노력이 부정당한 것처럼 느껴질 수 있어요. 하지만 각각의 불합격은 하나의 채용 결과일 뿐, 그동안 준비하며 쌓은 경험과 백설의 가능성 전체를 평가한 것은 아니에요.",이번 결과가 내 가치와 가능성 전부를 뜻하는 건 아니야. 준비하며 쌓은 경험까지 사라진 건 아니니까.,답하기 어려웠던 질문 하나부터 적어보세요,"다음 면접 전체를 한꺼번에 준비하려 하면 시작하기 어려울 수 있어요. 지난 면접에서 답하기 어려웠던 질문 하나를 적고, 그 질문에 대한 답변을 한 문장으로 정리하는 것부터 시작해 보세요.","면접 전체를 걱정하기보다, 답하기 어려웠던 질문 하나부터 정리해봐야겠어.",나를 덜 탓하게 됨,감정을 편안하게 해줌,시작해 볼 마음이 생김,마음이 편해지지 않음,문제는 그대로 남음,이미 알던 이야기임
12,취업준비2,비교하며 드는 조급함을 인정해도 돼요,"다른 사람들의 합격 소식을 들으면 조급하고 답답한 마음이 들 수 있어요. 그런 마음을 억지로 숨기거나 떨쳐내려 하지 말고, 지금 백설이 조급함을 느끼고 있다는 것을 그대로 인정해 보세요.",남들의 소식에 조급해진 내 마음을 굳이 억누르지 않아도 되겠어.,보이는 결과가 준비의 전부는 아니에요,SNS나 단체 채팅방에는 다른 사람들의 합격 결과만 주로 보여요. 그 소식만으로 백설의 준비 과정이 뒤처졌다고 단정하기는 어려워요. 서로 다른 상황에서 준비하고 있다는 관점으로 바라볼 수 있어요.,다른 사람의 합격 결과만 보고 내 준비가 뒤처졌다고 단정할 필요는 없겠어.,오늘 할 수 있는 작은 일 하나를 정해보세요,"다른 사람들의 합격 소식을 계속 확인하기보다, 오늘 할 취업준비 중 가장 작게 시작할 수 있는 일 하나를 정해 보세요. 지금 바로 할 수 있는 첫 단계만 시작하고, 마친 뒤에는 한 줄로 기록해 봐요.","남들의 성과를 계속 살피기보다, 내가 지금 할 수 있는 일 하나부터 시작해봐야겠어.",지금 감정을 알아차림,상황을 달리 보게 됨,시작해 볼 마음이 생김,이미 알던 이야기임,마음이 편해지지 않음,상황에 맞지 않음
13,취업준비3,시작이 막막하고 답답한 마음을 인정해요,"자격증 공부를 시작하려 할 때 무엇부터 해야 할지 몰라 막막한 마음이 들 수 있어요. 잘하고 싶은 마음이 있어도 교재와 강의, 일정을 정하지 못해 답답할 수 있다는 것을 그대로 바라봐도 괜찮아요.",무엇부터 시작해야 할지 몰라 답답했던 내 마음을 있는 그대로 인정해도 되겠어.,시작 전의 고민도 준비 과정일 수 있어요,"바로 공부에 손이 가지 않는다고 해서 백설의 의지가 부족한 것은 아니에요. 교재와 강의, 일정을 살펴보며 어디서부터 시작할지 고민하는 것도 자신에게 맞는 준비 방법을 찾아가는 과정일 수 있어요.",당장 시작하지 못했다고 자책할 필요는 없겠어. 지금은 나에게 맞는 준비 방법을 찾아가는 중일 수도 있으니까.,가장 가까운 시험 일정부터 확인해 보세요,교재나 강의 선택부터 공부 계획까지 한꺼번에 정하려 하면 시작하기 어려워져요. 지금은 가장 가까운 시험 날짜 하나만 확인해 달력에 적어 보세요. 준비의 기준이 될 날짜 하나부터 정하면 돼요.,"모든 계획을 한꺼번에 세우려 하지 말고, 가장 가까운 시험 날짜부터 달력에 적어봐야겠어.",무엇부터 할지 분명해짐,부담이 작게 느껴짐,지금 감정을 알아차림,어떻게 할지 막막함,상황에 맞지 않음,이미 알던 이야기임
14,취업준비4,줄어든 잔액에 초라해진 마음을 인정해요,"취업 준비 비용으로 통장 잔액이 줄어들면 아직 독립하지 못한 자신이 초라하게 느껴질 수 있어요. 그 마음을 억지로 외면하거나 떨쳐내려 하지 말고, 지금 백설이 그렇게 느끼고 있다는 것을 인정해 보세요.",통장 잔액을 보며 초라해진 내 마음을 굳이 외면하거나 억누르지 않아도 되겠어.,줄어든 잔액만이 지출의 전부는 아니에요,통장 잔액이 줄어든 모습만 보면 스스로가 초라하게 느껴질 수 있어요. 하지만 이번 지출에는 교재비와 응시료처럼 취업을 준비하기 위해 사용했다는 측면도 함께 있다는 관점으로 바라볼 수 있어요.,돈이 줄었다는 사실만 보고 있었네. 취업을 준비하는 데 사용한 비용이라는 측면도 함께 볼 수 있겠어.,이번 달 취업 지출 하나부터 적어보세요,전체 돈 관리를 한꺼번에 해결하려 하면 부담이 더 커질 수 있어요. 이번 달 취업 준비에 사용한 항목 중 하나를 골라 금액과 용도를 적어 보세요. 우선 지출 하나를 확인하는 것부터 시작해 봐요.,"잔액만 보며 초조해하기보다, 이번 달 취업 준비 지출 하나부터 적어봐야겠어.",나를 덜 탓하게 됨,상황을 달리 보게 됨,부담이 작게 느껴짐,문제는 그대로 남음,너무 이상적임,공감되지 않음
15,취업준비5,결과를 묻는 질문에 느끼는 부담을 인정해요,가족이나 지인에게 면접 결과를 질문받으면 부담스럽고 마음이 작아질 수 있어요. 결과를 말할 때 평가받거나 안쓰럽게 보일 것 같아 불편한 마음이 든다는 것을 억지로 숨기지 말고 그대로 바라봐도 괜찮아요.,면접 결과를 말할 때 부담스러웠던 내 마음을 억지로 숨기지 않아도 되겠어.,결과를 묻는 질문은 백설의 평가가 아니에요,"상대가 안쓰럽게 평가하는 것처럼 느껴질 수 있어요. 하지만 그 질문만으로 상대가 백설을 어떻게 보고 있는지 단정할 수 없고, 면접 결과 역시 백설의 가치 전체를 판단하는 기준은 아니에요.",결과를 묻는 질문만으로 상대가 나를 안쓰럽게 본다고 단정할 필요는 없겠어. 이번 결과가 내 가치 전체를 뜻하는 것도 아니니까.,결과를 전할 짧은 답변을 정해 보세요,면접 결과를 질문받을 때마다 길게 설명하려 하면 더 부담스러울 수 있어요. “이번에는 아쉽게 됐어. 자세한 이야기는 나중에 할게.”처럼 결과와 대화의 범위를 함께 전하는 짧은 답변을 미리 정해 보세요.,"결과를 길게 설명하려 애쓰기보다, 지금은 자세히 이야기하고 싶지 않다는 말까지 짧게 전해봐야겠어.",상대 입장이 이해됨,감정을 편안하게 해줌,무엇부터 할지 분명해짐,상대에겐 통하지 않음,너무 이상적임,마음이 편해지지 않음
16,취업준비6,친구의 합격 소식에 드는 불편함을 인정해요,함께 준비하던 친구의 합격 소식을 들을 때 축하하면서도 마음 한쪽이 씁쓸하고 불편할 수 있어요. 축하하고 싶은 마음과 자신만 남겨진 것 같은 조급함이 동시에 드는 자연스러운 감정을 그대로 바라봐도 괜찮아요.,친구를 축하하면서도 괜히 씁쓸해진 내 마음을 미워하거나 억누르지 않아도 되겠어.,친구의 합격이 백설의 실패를 뜻하지는 않아요,"친구들이 먼저 합격하면 백설만 제자리에 남겨진 것처럼 느껴질 수 있어요. 하지만 친구의 합격은 그 친구에게 생긴 결과일 뿐, 백설의 준비 과정과 앞으로의 가능성까지 끝났다는 의미는 아니에요.",친구의 합격이 곧 내 실패를 뜻하는 건 아니야. 내 준비와 가능성까지 끝난 것도 아니니까.,친구에게 전할 짧은 축하 글을 적어보세요,친구들의 합격 소식이나 취업 이야기에 마음이 복잡해질 때는 긴 대화를 이어가려고 애쓰지 않아도 돼요. “합격 진심으로 축하해!”처럼 마음을 담은 짧은 메시지 한 문장만 작성해 전달하는 것부터 시작해 보세요.,"길게 대화를 이어가려 애쓰기보다, 짧은 축하 인사 한 문장부터 건네봐야겠어.",지금 감정을 알아차림,상대 입장이 이해됨,시작해 볼 마음이 생김,공감되지 않음,이미 알던 이야기임,상대에겐 통하지 않음
17,취업준비7,점수가 오르지 않아 버거운 마음을 인정해요,"점수가 오르지 않고 같은 문제를 또 틀리면 버겁고 답답할 수 있어요. 실력이 늘지 않는 것 같아 막막해진 백설의 마음을 억지로 다잡으려 하지 말고, 지금 그렇게 느끼고 있음을 그대로 바라봐도 괜찮아요.",공부한 만큼 점수가 오르지 않아 버거웠던 내 마음을 있는 그대로 인정해도 되겠어.,점수 상승 속도가 노력의 전부는 아니에요,점수가 바로 오르지 않는다고 해서 백설이 들인 시간이 의미 없는 것은 아니에요. 반복해서 틀리는 문제를 확인하는 과정은 어떤 문제에서 자주 막히는지 알아가는 점검의 단서가 될 수 있어요.,점수가 바로 오르지 않아도 내 노력이 사라진 건 아니야. 반복해서 막히는 지점을 확인하는 과정으로 보자.,오늘 틀린 문제 하나의 이유만 확인해 보세요,"전체 점수를 한 번에 올리려고 하면 부담이 커질 수 있어요. 오늘 풀었던 문제 중 틀린 문제 하나를 골라, 내가 놓친 부분이나 틀린 이유 한 가지만 적어 보는 것부터 시작해 보세요.","점수 전체에 연연하기보다, 오늘 틀린 문제 하나에서 놓친 부분만 확인해봐야겠어.",상황을 달리 보게 됨,시작해 볼 마음이 생김,부담이 작게 느껴짐,문제는 그대로 남음,이미 알던 이야기임,공감되지 않음
18,취업준비8,자소서 문장에 확신이 없는 마음을 인정해요,"문장이 부족해 보이고 확신이 들지 않으면 답답하고 자신감이 떨어질 수 있어요. 잘 쓰고 싶은 마음에 자꾸 마음에 걸리는 감정을 억지로 지우려 하지 말고, 지금 백설이 그렇게 느끼고 있음을 받아들여 보세요.",내 글이 마음에 들지 않아 답답했던 내 마음을 억지로 지우려 하지 않아도 되겠어.,처음부터 완성된 문장을 쓸 필요는 없어요,처음 쓴 문장이 마음에 들지 않는다고 해서 자기소개서 전체가 부족하다는 뜻은 아니에요. 마음에 걸리는 부분을 고쳐 나가는 것도 초안을 바탕으로 글을 조금씩 완성해 가는 자연스러운 과정일 수 있어요.,처음부터 마음에 드는 글을 쓸 필요는 없어. 초안을 다듬어가며 완성하는 과정이라고 보자.,첫 문장을 멈추고 다음 문장을 써보세요,"첫 문장을 계속 고치다 보면 자기소개서 전체를 이어 쓰기 어려워질 수 있어요. 지금 쓴 첫 문장은 그대로 두고, 지원동기나 강점에 이어질 다음 문장 하나를 작성하는 것부터 시작해 보세요.","첫 문장을 더 고치기보다, 지금은 그대로 두고 다음 문장 하나를 이어 써봐야겠어.",부담이 작게 느껴짐,시작해 볼 마음이 생김,지금 감정을 알아차림,어떻게 할지 막막함,너무 이상적임,공감되지 않음
19,취업준비9,지원을 망설이는 조심스러운 마음을 인정해요,채용 공고의 자격요건을 보면 내가 지원해도 될지 확신이 서지 않아 망설이고 위축될 수 있어요. 조건에 맞춰 선뜻 결정하기 어려운 백설의 조심스러운 마음을 억지로 떨쳐내려 하지 말고 그대로 인정해도 괜찮아요.,지원 여부를 결정하지 못해 망설였던 내 마음을 굳이 억누르지 않아도 되겠어.,확신이 없다고 지원 자격이 없는 건 아니에요,자격요건을 보고 확신이 서지 않으면 지원하기 어렵게 느껴질 수 있어요. 하지만 확신이 없다는 사실만으로 지원 자격이 없다고 결론 내릴 수는 없어요. 아직 조건을 더 확인해 볼 수 있는 상태라고 바라볼 수 있어요.,확신이 없다는 것만으로 지원 자격이 없다고 결론 낼 필요는 없겠어. 아직 조건을 더 확인해 볼 수 있으니까.,공고 하나의 필수 요건부터 확인해 보세요,"여러 공고를 한꺼번에 비교하면 결정을 내리기 더 어려워질 수 있어요. 지금 가장 관심 가는 공고 하나만 고르고, 자격요건에서 ‘필수’로 표시된 조건 한 가지를 확인해 보는 것부터 시작해 보세요.","여러 공고를 동시에 고민하기보다, 관심 가는 공고 하나의 필수 조건부터 확인해봐야겠어.",상황을 달리 보게 됨,무엇부터 할지 분명해짐,감정을 편안하게 해줌,상황에 맞지 않음,어떻게 할지 막막함,너무 이상적임
20,취업준비10,계획대로 되지 않은 하루의 아쉬움을 인정해요,"아침에 세운 계획대로 하루가 흘러가지 않고 남아 있는 일을 보면 아쉽고 속상한 마음이 들 수 있어요. 계획을 다 지키지 못한 자신을 자책하지 말고, 지금 아쉬움이 남아 있다는 것을 그대로 바라봐도 괜찮아요.",계획한 대로 하루를 다 마치지 못해 아쉬웠던 내 마음을 그대로 인정해도 되겠어.,목표를 다 못 마쳐도 실패한 하루는 아니에요,"세운 목표를 전부 끝내지 못했다고 해서 백설의 하루 전체가 무의미해지는 것은 아니에요. 마치지 못한 일에만 집중하기보다, 하루를 시작하려 시도하고 준비했던 부분도 오늘의 일부라는 관점으로 바라볼 수 있어요.",목표를 다 못 채웠다고 하루 전체가 실패한 건 아니야. 시도하고 준비했던 부분도 오늘의 일부니까.,내일 시작할 십 분짜리 일 하나를 정해보세요,"끝내지 못한 일을 한꺼번에 만회하려 하면 부담이 더 커질 수 있어요. 남은 일 중 내일 십 분 안에 시작할 수 있는 작은 일 하나를 고르고, 가장 먼저 할 행동을 한 줄로 적어 보세요.","남은 계획을 한꺼번에 끝내려 하기보다, 내일 시작할 십 분짜리 일 하나부터 정해봐야겠어.",나를 덜 탓하게 됨,부담이 작게 느껴짐,시작해 볼 마음이 생김,문제는 그대로 남음,이미 알던 이야기임,마음이 편해지지 않음
21,연인1,휴대폰을 만지작거리는 불안을 가만히 바라봐요,하루 종일 연락이 없어 조바심이 나고 온종일 휴대폰 화면으로 시선이 향하는 그 상태를 억눌러 없애려 하지 마세요. '내가 지금 많이 서운하고 신경이 쓰이는구나' 하고 그 불안의 무게를 가만히 알아차려 주는 것으로 충분해요.,"자꾸 휴대폰에 눈이 가던 내 조바심, 애써 안 그런 척하지 않고 그냥 바라봐 줘야지.",나만의 시간에 집중할 기회가 생긴 거예요,"아침 인사 이후 추가 연락이 없는 것이 백설이에 대한 마음이 식었다는 뜻은 아니에요. 상대가 자신의 일상에 몰입하고 있듯, 이 시간은 백설이도 연인에게 매여 있지 않고 나만의 시간을 온전히 누릴 기회가 될 수 있어요.",연락이 없는 게 나를 안 챙기는 게 아니라 각자 할 일에 집중하는 시간인 거였어.,휴대폰을 잠시 두고 내 할 일에 집중해요,휴대폰을 반복해서 확인하기보다는 화면을 엎어두고 지금 할 수 있는 일 하나에 시선을 돌려보세요. 책을 읽거나 좋아하는 음악을 들으며 내 행동에 집중할 때 기다림에 쏠려 있던 마음의 무게가 가벼워질 수 있어요.,"자꾸 휴대폰만 들여다보지 말고, 지금 하려던 일부터 다시 손대 봐야겠어.",감정을 편안하게 해줌,상황을 달리 보게 됨,부담이 작게 느껴짐,마음이 편해지지 않음,너무 이상적임,상대에겐 통하지 않음
